,,,,,,maxerr,err050,err075,err200,err_train,err_val,regparams,objval,time,gurobifail
LBFGSB,DMA2,DW,nongrouped,set001,0,3.3569895050494125,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848674174028,1.3533381493279812,0.0,0.997584870987339,62.12266607359759,False
LBFGSB,DMA2,DW,nongrouped,set001,1,3.3569895052105636,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848674150729,1.353338149364925,1e-15,0.9975848709881757,60.74863009597454,False
LBFGSB,DMA2,DW,nongrouped,set001,2,3.356989505477955,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848674110697,1.3533381494265484,1e-14,0.9975848710102583,60.537184147947926,False
LBFGSB,DMA2,DW,nongrouped,set001,3,3.356989505133356,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848674153536,1.3533381493559877,1e-13,0.9975848711146688,60.57613296152464,False
LBFGSB,DMA2,DW,nongrouped,set001,4,3.3569895051910805,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848674075666,1.3533381494488108,1e-12,0.9975848718386311,60.642460609378475,False
LBFGSB,DMA2,DW,nongrouped,set001,5,3.356989502640346,86.29373317954632,95.02114571318724,99.63475586312957,0.997584867374164,1.3533381496644856,1.0000000000000001e-11,0.9975848793110854,61.65788154585736,False
LBFGSB,DMA2,DW,nongrouped,set001,6,3.3569894798337288,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848670007428,1.3533381524355592,1e-10,0.9975849542684495,60.918210784733034,False
LBFGSB,DMA2,DW,nongrouped,set001,7,3.3569892510770103,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848632770398,1.3533381799897193,1e-09,0.9975857035937278,60.83388534378047,False
LBFGSB,DMA2,DW,nongrouped,set001,8,3.3569869634599883,86.29373317954632,95.02114571318724,99.63475586312957,0.9975848260649431,1.353338455585841,1e-08,0.9975931969376627,60.67427163704173,False
LBFGSB,DMA2,DW,nongrouped,set001,9,3.3569641903527696,86.29373317954632,95.02114571318724,99.63475586312957,0.9975844548220033,1.3533412416701733,1e-07,0.9976681214476696,60.8143897661369,False
LBFGSB,DMA2,DW,nongrouped,set001,10,3.3567462878924488,86.29373317954632,95.02114571318724,99.63475586312957,0.9975808470879334,1.35337199925927,1e-06,0.9984164906641129,60.76726258703574,False
LBFGSB,DMA2,DW,nongrouped,set001,11,3.393299016902759,86.27450980392157,94.98269896193771,99.63475586312957,0.9967937994534989,1.3629306709286948,9.999999999999999e-06,1.004961319864077,67.47262116572288,False
LBFGSB,DMA2,DW,nongrouped,set001,12,3.3865855426684135,85.69780853517878,94.67512495194156,99.67320261437908,1.0093552066658078,1.4078469435487488,0.0001,1.0811682420033626,51.428182043693226,False
LBFGSB,DMA2,DW,nongrouped,set001,13,3.3383197737742023,83.5447904652057,93.79084967320262,99.73087274125336,1.0844158175851601,1.5107732743995528,0.001,1.6142982257262242,51.10085025576104,False
LBFGSB,DMA2,DW,nongrouped,set001,14,3.2821012453083256,68.37754709727028,82.46828143021915,99.65397923875432,2.1473546679513458,3.025234703032922,0.01,4.935859594477893,37.84632995740167,False
LBFGSB,DMA2,DW,nongrouped,set001,15,3.7301702669618777,45.001922337562476,52.55670895809305,89.600153787005,9.726355278727704,12.165282852001457,0.1,14.183136002697257,25.093898944451098,False
LBFGSB,DMA2,DW,grouped,set001,0,3.3536342439231532,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011870587852,1.4025339871803844,0.0,1.0369011857983423,94.67272167382342,False
LBFGSB,DMA2,DW,grouped,set001,1,3.35363424408618,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011867730733,1.4025339867433022,1e-15,1.036901185507465,93.80528800916976,False
LBFGSB,DMA2,DW,grouped,set001,2,3.3536342439429205,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011871161038,1.4025339872701845,1e-14,1.036901185858161,93.7085637178588,False
LBFGSB,DMA2,DW,grouped,set001,3,3.353634243865727,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011872483518,1.4025339874724472,1e-13,1.0369011859890744,94.42632371306861,False
LBFGSB,DMA2,DW,grouped,set001,4,3.3536342439321487,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011871037115,1.4025339872613056,1e-12,1.0369011859885366,94.18077087574633,False
LBFGSB,DMA2,DW,grouped,set001,5,3.3536342442665017,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011865494686,1.402533986514775,1.0000000000000001e-11,1.0369011868562743,94.08341787418952,False
LBFGSB,DMA2,DW,grouped,set001,6,3.353634247962276,85.39023452518262,94.92502883506344,99.67320261437908,1.036901180776493,1.4025339786981206,1e-10,1.0369011956209628,93.75873137392435,False
LBFGSB,DMA2,DW,grouped,set001,7,3.3536342852534204,85.39023452518262,94.92502883506344,99.67320261437908,1.0369011226116998,1.4025338998791632,1e-09,1.0369012824239436,95.31499024857578,False
LBFGSB,DMA2,DW,grouped,set001,8,3.353634657120537,85.39023452518262,94.92502883506344,99.67320261437908,1.0369005422955309,1.4025331136426002,1e-08,1.0369021519194537,94.66738875677895,False
LBFGSB,DMA2,DW,grouped,set001,9,3.3536383853187886,85.39023452518262,94.92502883506344,99.67320261437908,1.0368947284725887,1.4025252276356714,1e-07,1.0369108374219798,95.12915932458556,False
LBFGSB,DMA2,DW,grouped,set001,10,3.35367646500913,85.39023452518262,94.92502883506344,99.67320261437908,1.0368359086844583,1.4024445821780611,1e-06,1.0369971176817547,94.40527389526628,False
LBFGSB,DMA2,DW,grouped,set001,11,3.3532283632791007,85.39023452518262,94.92502883506344,99.67320261437908,1.0365622899861262,1.402042640032453,9.999999999999999e-06,1.038179008722896,93.7402348895694,False
LBFGSB,DMA2,DW,grouped,set001,12,3.3614267475229695,85.33256439830834,94.86735870818916,99.65397923875432,1.0295739874045204,1.3951468626980938,0.0001,1.0471301836228846,116.2671590850769,False
LBFGSB,DMA2,DW,grouped,set001,13,3.308578662594229,84.83275663206459,94.559784698193,99.7116493656286,1.0487090164941926,1.4115799989011575,0.001,1.1829824850429753,70.50978735052094,False
LBFGSB,DMA2,DW,grouped,set001,14,2.9881862882334786,81.35332564398308,92.42599000384467,99.76931949250289,1.2572172345240298,1.604574056718973,0.01,2.069516925759359,48.782988897062594,False
LBFGSB,DMA2,DW,grouped,set001,15,2.629067074503567,63.03344867358708,77.48942714340639,99.61553248750481,3.0959322753950316,3.7929362191703473,0.1,6.307328161718873,31.990881135271074,False
LBFGSB,DMA2,HW,nongrouped,set001,0,3.50451379149915,80.62283737024222,94.2714340638216,99.59630911188005,1.2622861987994252,1.6806075557784246,0.0,1.262286198718357,127.94147306382906,False
LBFGSB,DMA2,HW,nongrouped,set001,1,3.507645001972705,80.50749711649365,94.30988081507112,99.59630911188005,1.2619702598479998,1.6748634869958596,1e-15,1.2619702597381621,130.09032684378903,False
LBFGSB,DMA2,HW,nongrouped,set001,2,3.519148703426808,80.56516724336792,94.30988081507112,99.59630911188005,1.2620070391115916,1.679156466925979,1e-14,1.2620070392285503,124.81130609207398,False
LBFGSB,DMA2,HW,nongrouped,set001,3,3.486035822359085,80.56516724336792,94.30988081507112,99.59630911188005,1.264708480270199,1.6682413994375198,1e-13,1.2647084823928632,118.24741416180521,False
LBFGSB,DMA2,HW,nongrouped,set001,4,3.498170918651468,80.52672049211841,94.2714340638216,99.59630911188005,1.2620964487141328,1.6723214091595942,1e-12,1.2620964717208931,125.62207842198005,False
LBFGSB,DMA2,HW,nongrouped,set001,5,3.5106013283370743,80.50749711649365,94.29065743944636,99.59630911188005,1.261991489349998,1.6758911027163101,1.0000000000000001e-11,1.261991724278034,133.5887747421005,False
LBFGSB,DMA2,HW,nongrouped,set001,6,3.512521879924577,80.5843906189927,94.29065743944636,99.59630911188005,1.2619861574867157,1.6752088477993332,1e-10,1.2619884661908787,130.2269490017621,False
LBFGSB,DMA2,HW,nongrouped,set001,7,3.509202888131938,80.60361399461745,94.23298731257209,99.59630911188005,1.2623234613061645,1.680502179670786,1e-09,1.2623469437760728,125.38539382067644,False
LBFGSB,DMA2,HW,nongrouped,set001,8,3.507674443762241,80.4882737408689,94.32910419069589,99.59630911188005,1.2620377570691232,1.6773102651890965,1e-08,1.2622684208783703,124.43111089251194,False
LBFGSB,DMA2,HW,nongrouped,set001,9,3.499626750582266,80.44982698961938,94.21376393694733,99.59630911188005,1.262420844747292,1.6775050100113846,1e-07,1.2647620514144469,146.969222708843,False
LBFGSB,DMA2,HW,nongrouped,set001,10,3.5371229433147278,80.73817762399077,94.2714340638216,99.59630911188005,1.2635886674326775,1.6768227387331236,1e-06,1.286162638889324,133.6134608146716,False
LBFGSB,DMA2,HW,nongrouped,set001,11,3.382745787058141,77.60476739715494,92.84890426758939,99.7116493656286,1.387803695696043,1.834089876056376,9.999999999999999e-06,1.5451622926611035,96.3078370656767,False
LBFGSB,DMA2,HW,nongrouped,set001,12,3.4579104650223087,72.79892349096502,91.33025759323338,99.57708573625528,1.7079287682975612,2.341099274358189,0.0001,2.6127233304942727,91.3982314851248,False
LBFGSB,DMA2,HW,nongrouped,set001,13,4.094820092151522,55.17108804306036,76.70126874279123,98.34678969627066,3.5594956819061387,4.735417803532174,0.001,7.703916524360073,47.425177493028585,False
LBFGSB,DMA2,HW,nongrouped,set001,14,6.948763589930991,35.04421376393695,40.21530180699731,62.80276816608996,39.398762280687485,47.40248963718626,0.01,43.124359952114176,7.049638598532154,False
LBFGSB,DMA2,HW,nongrouped,set001,15,7.269172734051168,33.02575932333718,38.79277201076509,59.86159169550172,45.610961608848115,54.29663518964257,0.1,45.867408552693085,6.753860366448258,False
LBFGSB,DMA2,HW,grouped,set001,0,3.3120249656618483,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594878175,1.7778762609360188,0.0,1.370026059114025,36.642945614425265,False
LBFGSB,DMA2,HW,grouped,set001,1,3.31202496566047,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594878182,1.7778762609293168,1e-15,1.3700260590590536,36.03753143551229,False
LBFGSB,DMA2,HW,grouped,set001,2,3.3120249656632126,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594877547,1.777876260961365,1e-14,1.3700260591318352,36.417245051579904,False
LBFGSB,DMA2,HW,grouped,set001,3,3.3120249656662395,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594877374,1.7778762609545513,1e-13,1.370026059408542,36.222370964706684,False
LBFGSB,DMA2,HW,grouped,set001,4,3.312024965746616,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594858904,1.7778762612565657,1e-12,1.3700260623211313,36.95043368176142,False
LBFGSB,DMA2,HW,grouped,set001,5,3.312024966544797,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260594677647,1.7778762642332873,1.0000000000000001e-11,1.3700260913888143,36.235251826253574,False
LBFGSB,DMA2,HW,grouped,set001,6,3.31202497450586,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260592872433,1.7778762939364856,1e-10,1.3700263825021948,35.81805467640669,False
LBFGSB,DMA2,HW,grouped,set001,7,3.3120250541280143,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260574815166,1.7778765908618392,1e-09,1.3700292932714877,36.154173010795,False
LBFGSB,DMA2,HW,grouped,set001,8,3.3120258504197864,77.04728950403691,93.11803152633603,99.73087274125336,1.3700260394622574,1.777879560381434,1e-08,1.370058401082257,36.05581706670316,False
LBFGSB,DMA2,HW,grouped,set001,9,3.312033822464798,77.04728950403691,93.11803152633603,99.73087274125336,1.3700258630103128,1.7779092696676795,1e-07,1.3703494756031989,36.02434263425316,False
LBFGSB,DMA2,HW,grouped,set001,10,3.3121144830239473,77.06651287966166,93.11803152633603,99.73087274125336,1.3700244746351058,1.7782077616113068,1e-06,1.3732598795359534,35.860704754247,False
LBFGSB,DMA2,HW,grouped,set001,11,3.5538266242651986,78.3352556708958,93.44482891195693,99.59630911188005,1.3382894232661982,1.7711454601722887,9.999999999999999e-06,1.3792389101535234,49.93450892169778,False
LBFGSB,DMA2,HW,grouped,set001,12,3.328817701131797,77.22029988465975,92.90657439446368,99.73087274125336,1.371401533100656,1.8036205183239864,0.0001,1.6888769706764142,37.837019058046636,False
LBFGSB,DMA2,HW,grouped,set001,13,3.477461098440642,77.77777777777779,91.13802383698577,99.50019223375625,1.5873720182956472,2.2503802427897504,0.001,4.17707172171917,43.62568174430739,False
LBFGSB,DMA2,HW,grouped,set001,14,3.8322737741883373,68.319876970396,76.58592848904267,93.54094579008074,4.9296675845928,6.991365087948146,0.01,20.600999395802212,22.106618565343098,False
LBFGSB,DMA2,HW,grouped,set001,15,7.091344539695683,33.910034602076124,39.350249903883125,61.16878123798539,42.534294327684385,50.79047950272355,0.1,44.388299413386264,8.053040049270354,False
SCP,DMA1,DW,nongrouped,set001,0,5.095630659322964,80.11291203788016,89.3462028774358,99.12584228737936,1.9852192950207588,2.669658026258817,0.0,1.9852192950207588,98.70812661454502,False
SCP,DMA1,DW,nongrouped,set001,1,5.09565148586853,80.11291203788016,89.3462028774358,99.12584228737936,1.9852252167126074,2.6696472325319753,1e-15,1.9852252169789357,97.5726335688502,False
SCP,DMA1,DW,nongrouped,set001,2,5.095688387871263,80.11291203788016,89.3462028774358,99.12584228737936,1.98521804390868,2.66961020119998,1e-14,1.9852180465794165,97.64781961575967,False
SCP,DMA1,DW,nongrouped,set001,3,11.744683633605533,41.50427973046804,46.6581679111273,67.96576215625569,77.39722708202783,71.21834135198708,1e-13,,,True
SCP,DMA1,DW,nongrouped,set001,4,11.744683633605533,41.50427973046804,46.6581679111273,67.96576215625569,77.39722708202783,71.21834135198708,1e-12,,,True
SCP,DMA1,DW,nongrouped,set001,5,5.128271657160539,80.27681660899654,89.3462028774358,99.12584228737936,1.97744059779009,2.6671859791628663,1.0000000000000001e-11,1.9774438207720866,119.9276872016834,True
SCP,DMA1,DW,nongrouped,set001,6,5.120185850994119,80.25860498998361,89.32799125842288,99.12584228737936,1.9794734759187025,2.6663188122154717,1e-10,1.9795034745142914,114.81916710861718,True
SCP,DMA1,DW,nongrouped,set001,7,5.126181973969011,80.38608632307412,89.41904935348752,99.10763066836643,1.982784393868897,2.6617818531589266,1e-09,1.983049331907313,92.45812062682839,False
SCP,DMA1,DW,nongrouped,set001,8,5.128701976616384,80.22218175195775,89.3462028774358,99.12584228737936,1.9772995457831115,2.6669515604260314,1e-08,1.9795099083727878,110.84433390929465,False
SCP,DMA1,DW,nongrouped,set001,9,5.123193030152919,80.11291203788016,89.36441449644873,99.12584228737936,1.9784611474672935,2.6692128477900114,1e-07,1.9917339257613396,111.65177706875609,False
SCP,DMA1,DW,nongrouped,set001,10,5.074400959785564,80.24039337097068,89.38262611546166,99.0894190493535,1.9956826310609936,2.670700678807748,1e-06,2.064861357818258,120.77295049013738,False
SCP,DMA1,DW,nongrouped,set001,11,5.045235276880845,81.89765070114733,89.83791659078491,99.0894190493535,2.0408662102044377,2.638468226400008,9.999999999999999e-06,2.5983309001230506,132.05559637657606,False
SCP,DMA1,DW,nongrouped,set001,12,5.068002852948965,78.76525223092334,89.74685849572028,99.05299581132763,2.500238118337705,2.802547250981667,0.0001,6.3693449721378155,187.581693839495,False
