,DMA1,DMA1,DMA1,DMA1,DMA2,DMA2,DMA2,DMA2
,DW,DW,HW,HW,DW,DW,HW,HW
,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped,grouped,nongrouped
0,3.0846943713356727,2.6176891131336757,3.405428399877379,2.9959677335995836,1.3654520020718348,1.3386773644514338,1.7227347395827708,1.6217767130615421
1,3.116700055341424,2.6200447410738628,3.468806572348528,3.0047548015198178,1.3707445787992465,1.3390852203176289,1.7257349590410211,1.6366278888632457
2,3.1648739467672833,2.625602610889667,3.468992038874512,3.01368388177658,1.3712656801874044,1.3449342675910843,1.7279281894417369,1.6431287747004772
3,3.1732554349527824,2.6296946258364513,3.4702605889884452,3.023419244845649,1.3761066575390823,1.3451317855318978,1.7281802291273414,1.6452685594207754
4,3.174032054350599,2.6298080929448555,3.471723844193157,3.0333887066382865,1.3772215101229441,1.3454968463215382,1.7285309567370821,1.6473087691920392
5,3.174696554858607,2.633206240048871,3.4718350458957206,3.035789157214015,1.3781003296058167,1.34620469107487,1.7289733595336925,1.6477109960074863
6,3.174853321096884,2.6344213929911318,3.4720109027610504,3.0362603725417183,1.3784830657319709,1.347356206539602,1.7295432849760117,1.6477793473803644
7,3.18578880783014,2.6353323417929415,3.472366000032054,3.036413175478804,1.3808091842700543,1.3486641676891395,1.7296073979615343,1.6479259005973854
8,3.188317088046824,2.6357783042264895,3.474815159367091,3.039147977369964,1.3814069882744746,1.34872192949851,1.7297308888640273,1.6490935471010895
9,3.2005332203976145,2.63579692504501,3.477626123737131,3.040033843467326,1.3818800269589675,1.3491367125201121,1.7301751695892005,1.6502828350653955
10,3.2010762125029366,2.6366932003077634,3.4787430323246245,3.041663252020539,1.382371130164771,1.3492027412613223,1.7301869309190996,1.650709258011991
11,3.2013489123435543,2.636781608473855,3.479018584768409,3.0434605476140955,1.38268529768473,1.3492570349821849,1.7314093115154248,1.650732104412619
12,3.2014177414711176,2.638634965982104,3.4804401065515673,3.045924876479921,1.3832006267109758,1.3494642826998566,1.7320967648063095,1.6507830290322145
13,3.2034126315257034,2.638727660015542,3.4813165016849683,3.046986503515944,1.3833958606849692,1.3496462133202025,1.7323460058489477,1.6509945899902063
14,3.203968069949138,2.6394643259915322,3.481483155018216,3.0502568139116133,1.3839962089803988,1.3499776353884898,1.7327873221796914,1.6519324715004617
15,3.2043129885511767,2.63969243368802,3.481679727729793,3.0529410449571737,1.384130157491607,1.3500668780609564,1.7329633247099203,1.6524601197193405
16,3.204630467025949,2.640008702929798,3.482515348959354,3.05297549630571,1.3841336502650345,1.35022171220463,1.7344245416219235,1.652903693046528
17,3.205097044111215,2.6405484600429125,3.4833344375798463,3.054385610839384,1.3841590847208303,1.3502397911582218,1.7347264519599301,1.6533330312944687
18,3.208360366092534,2.6407534405437096,3.4844124711097337,3.0545999994482105,1.3842483307727276,1.350382419548373,1.7348458044923503,1.6540969563456436
19,3.208563194316753,2.640935746653743,3.4847850731456997,3.055076008042442,1.3846852816229107,1.350384338778928,1.7353979026723192,1.6541463830729608
20,3.210183486832958,2.6410792546382664,3.4851846199411067,3.0565480527833198,1.3847593043916648,1.3505705800337948,1.7354519328254245,1.6543704205129381
21,3.21066738915994,2.641613971370859,3.4864404438325614,3.05784017743739,1.3849899475103689,1.3508135973048687,1.735483698063167,1.6545638026560694
22,3.2109313264483106,2.6418771902635934,3.4869025935525912,3.057993931233727,1.385378472901846,1.3509806659607888,1.735815380394206,1.6546256158895785
23,3.2116786886745095,2.6421692386593794,3.4872074496592838,3.058579315492821,1.3860780865267306,1.351011631816526,1.7359034671524636,1.6548097657438026
24,3.211708095537595,2.6424847095673787,3.4878404762526314,3.0587586870462817,1.3861544576856786,1.3511462427607912,1.7359442290789235,1.6548111421834015
25,3.212619618797692,2.642786220374548,3.488402531569228,3.059589559261113,1.386281291036942,1.3511657897522171,1.7359527259493457,1.654968583155743
26,3.2138708059982477,2.642812120818152,3.489428798484297,3.0600684032213508,1.3863564596985067,1.3511940761614736,1.7359826265071183,1.6549998070814662
27,3.2145566716841336,2.6431830658516127,3.4907545487306044,3.0600862209286444,1.3867168230790095,1.351248919957948,1.7360392096604076,1.6552934080443287
28,3.215564856712197,2.643246923870581,3.4911415703284496,3.0600966982900917,1.3867953276209244,1.3512735334252919,1.736268515704473,1.6553271835253225
29,3.2156493503330044,2.6437291556734244,3.491765857070534,3.060621748659286,1.3869318911920938,1.3512885549005291,1.7364017492724648,1.6554317532215508
30,3.216601444924977,2.6437582398874078,3.4917887457634227,3.0619343577141986,1.386971864908768,1.3514318018826796,1.7365095047552284,1.6555007906913242
31,3.2168406796268076,2.643877341407624,3.4942309145713932,3.06208697001575,1.3871074494208253,1.3514383196595001,1.736573233107293,1.655957469330303
32,3.2178577244861377,2.6439174880042207,3.4952589592534125,3.0623871890256407,1.3872145380360945,1.351630502918308,1.7366772685122114,1.6576834430764726
33,3.218524272120074,2.6442923460066288,3.495283190986021,3.0628553774223466,1.3872271187917535,1.3517465501955017,1.7371247990928158,1.6577013006854622
34,3.218723352455459,2.644448133414039,3.495532077391537,3.062938540679806,1.3872874485208508,1.3520563476479976,1.7375144397065387,1.657808484339388
35,3.21929437480882,2.6446078564078994,3.4957436153983377,3.064975071012905,1.387292606134991,1.3521424364305288,1.7375977286684634,1.658037618500133
36,3.2209640383961613,2.6446302128902714,3.4958023049173597,3.0654670494242167,1.3873692579079109,1.352250339925333,1.7377379921014782,1.6585463472927255
37,3.221319139393899,2.644986676904245,3.495870536471873,3.065824863229494,1.3874535577858367,1.3523296086910597,1.7379888842852766,1.6590050826663578
38,3.2221332798971005,2.6451891334331354,3.4967188650371903,3.0664049621587512,1.3875826038740995,1.3524369825694837,1.7380764121985177,1.6592533323156298
39,3.223024565871897,2.6451980461113993,3.4967528883016485,3.066931470784197,1.3875926297949581,1.352461459536477,1.7383030534614714,1.6595439436005976
40,3.223204597819771,2.6457009869581922,3.4973061629313484,3.067142741356372,1.3877023371761996,1.352578969609234,1.7385058514005898,1.659574070041016
41,3.2240357467695127,2.646078829791621,3.4973938390158597,3.067343964351815,1.387725630886257,1.3530459830311226,1.7385772919746203,1.6596600256321723
